# Protein abundances computed from file 'C:\Users\timot\AppData\Local\Temp\knime_KNIME_project41745\fs-IDMer_0-71-41787\000\000\IDMerger_0\20170419_GM_Cyano_1000_R1_BC1_01_2485.idXML'
# Parameters (relevant only): top=0, average=sum
# Files/samples associated with abundance values below: 1: 'MS-GF+_2019-01-05T22:59:50', 2: 'MS-GF+_2019-01-06T09:31:45', 3: 'MS-GF+_2019-01-06T10:13:29', 4: 'MS-GF+_2019-01-06T10:58:19', 5: 'MS-GF+_2019-01-06T11:44:39', 6: 'MS-GF+_2019-01-06T13:08:17', 7: 'MS-GF+_2019-01-06T14:31:32', 8: 'MS-GF+_2019-01-06T15:56:55', 9: 'MS-GF+_2019-01-06T17:17:30', 10: 'MS-GF+_2019-01-06T18:32:53'
"protein"	"n_proteins"	"protein_score"	"n_peptides"	"abundance_1"	"abundance_2"	"abundance_3"	"abundance_4"	"abundance_5"	"abundance_6"	"abundance_7"	"abundance_8"	"abundance_9"	"abundance_10"
"sgl0001"	1	0	7	8	15	14	20	14	5	5	4	9	7
"sgl0002"	1	0	13	10	6	6	9	7	6	10	5	8	5
"sll0002"	1	0	181	105	137	129	152	113	156	152	117	141	145
"sll0005"	1	0	125	44	50	48	44	58	64	66	58	45	49
"sll0006"	1	0	51	42	40	54	36	36	57	42	46	37	43
"sll0007"	1	0	17	4	4	3	4	7	9	8	4	4	5
"sll0008"	1	0	16	10	3	6	6	12	10	12	9	8	6
"sll0010"	1	0	47	27	27	35	26	27	39	22	24	28	19
"sll0016"	1	0	57	28	37	39	44	34	33	32	33	54	42
"sll0017"	1	0	45	31	45	35	34	43	77	65	70	89	84
"sll0018"	1	0	48	64	67	71	69	62	85	60	60	59	49
"sll0019"	1	0	39	38	42	44	48	52	54	59	54	60	62
"sll0020"	1	0	223	154	156	147	138	141	171	202	223	215	189
"sll0021"	1	0	35	20	25	14	23	13	16	14	13	12	22
"sll0022"	1	0	45	25	21	15	12	14	18	40	27	36	22
"sll0023"	1	0	51	21	35	30	29	21	29	28	33	29	32
"sll0024"	1	0	58	35	47	36	39	47	53	66	51	49	53
"sll0026"	1	0	20	4	10	12	11	13	4	5	7	8	11
"sll0027"	1	0	18	21	10	33	24	18	10	11	9	6	14
"sll0030"	1	0	47	25	26	27	32	29	43	34	44	32	34
"sll0031"	1	0	29	9	12	9	16	16	15	12	8	13	12
"sll0033"	1	0	95	28	48	39	56	34	70	64	56	45	41
"sll0034"	1	0	31	18	20	19	16	11	11	16	15	18	9
"sll0036"	1	0	32	9	6	4	5	4	15	12	11	22	8
"sll0037"	1	0	58	29	20	27	28	24	45	50	53	43	44
"sll0038"	1	0	61	32	28	26	30	28	39	26	46	24	35
"sll0039"	1	0	26	24	14	23	25	19	21	19	21	12	16
"sll0040"	1	0	13	10	7	3	6	3	4	6	12	10	8
"sll0041"	1	0	112	86	65	69	68	62	84	95	84	105	85
"sll0042"	1	0	21	12	18	34	24	20	20	23	19	24	20
"sll0043"	1	0	146	104	89	87	92	91	96	65	76	62	68
"sll0044"	1	0	25	9	15	8	9	12	23	24	19	17	13
"sll0045"	1	0	125	78	81	88	106	96	57	64	66	43	50
"sll0048"	1	0	65	23	27	25	23	23	36	47	41	45	48
"sll0051"	1	0	28	43	43	30	35	38	59	58	53	60	55
"sll0053"	1	0	74	60	34	45	24	31	35	40	40	32	42
"sll0055"	1	0	51	46	59	40	45	48	22	29	26	36	31
"sll0057"	1	0	58	32	26	29	36	33	38	59	45	55	61
"sll0058"	1	0	115	66	68	82	84	81	85	97	73	80	75
"sll0060"	1	0	36	44	57	49	46	47	35	32	48	31	37
"sll0062"	1	0	11	17	9	14	12	12	9	5	8	6	3
"sll0063"	1	0	15	4	8	9	7	10	10	15	9	8	13
"sll0064"	1	0	25	12	3	13	6	6	29	18	23	27	16
"sll0065"	1	0	41	17	13	12	15	20	19	24	18	20	20
"sll0066"	1	0	25	13	8	8	7	9	12	16	14	10	16
"sll0067"	1	0	22	29	15	24	13	11	16	9	15	13	8
"sll0068"	1	0	134	110	96	79	81	96	90	94	80	96	82
"sll0069"	1	0	46	59	76	63	70	71	49	51	61	59	66
"sll0070"	1	0	37	15	13	22	18	17	19	12	15	22	13
"sll0071"	1	0	54	26	41	38	39	36	47	40	33	32	38
"sll0072"	1	0	22	20	11	14	20	15	6	15	15	15	12
"sll0078"	1	0	147	84	86	84	101	96	120	105	96	86	111
"sll0080"	1	0	45	20	23	21	25	25	51	51	52	39	44
"sll0082"	1	0	17	19	20	17	25	13	18	20	20	23	21
"sll0083"	1	0	17	15	17	22	13	11	17	10	15	17	9
"sll0084"	1	0	19	16	12	13	16	10	14	14	9	20	20
"sll0085"	1	0	51	44	36	46	35	31	36	43	29	40	36
"sll0086"	1	0	71	39	55	41	46	49	53	74	76	72	80
"sll0088"	1	0	46	23	13	15	9	12	31	41	44	38	38
"sll0092"	1	0	32	5	11	4	8	12	11	13	18	9	7
"sll0094"	1	0	56	26	26	22	20	20	37	26	27	33	25
"sll0095"	1	0	92	47	57	71	80	66	50	49	39	48	51
"sll0096"	1	0	83	40	56	32	51	49	43	44	42	37	38
"sll0098"	1	0	50	15	14	21	14	17	26	26	17	27	30
"sll0099"	1	0	48	18	25	21	27	23	14	20	24	24	19
"sll0100"	1	0	28	27	22	18	27	27	25	31	25	17	15
"sll0101"	1	0	17	17	10	10	10	7	17	20	11	22	20
"sll0102"	1	0	71	55	33	26	31	23	46	58	25	32	31
"sll0103"	1	0	59	29	25	33	26	22	37	28	30	37	37
"sll0107"	1	0	9	2	2	2	3	2	4	2	2	1	2
"sll0108"	1	0	24	14	10	13	7	7	11	15	14	14	13
"sll0109"	1	0	17	2	1	3	6	6	7	11	12	6	9
"sll0135"	1	0	27	14	15	14	13	14	12	9	11	8	14
"sll0136"	1	0	55	55	55	40	61	56	22	39	45	44	28
"sll0140"	1	0	10	24	26	34	25	25	16	22	15	18	23
"sll0141"	1	0	74	34	29	26	20	34	31	41	42	40	30
"sll0142"	1	0	74	35	44	30	31	37	27	33	25	31	28
"sll0144"	1	0	40	28	25	25	21	22	39	47	45	47	39
"sll0145"	1	0	88	37	37	40	52	41	64	67	60	72	76
"sll0146"	1	0	22	12	12	12	21	13	14	6	8	9	3
"sll0147"	1	0	111	66	87	68	67	72	74	95	87	93	99
"sll0148"	1	0	61	34	38	41	28	44	38	32	28	30	35
"sll0149"	1	0	89	67	62	48	50	46	62	60	79	76	70
"sll0154"	1	0	132	75	83	80	84	74	126	137	125	130	119
"sll0156"	1	0	8	12	16	5	13	14	5	7	10	8	7
"sll0157"	1	0	11	15	5	5	5	8	13	16	16	12	7
"sll0158"	1	0	101	79	69	77	59	68	99	101	115	86	116
"sll0160"	1	0	20	16	11	17	11	10	8	10	14	10	7
"sll0161"	1	0	4	1	0	0	0	1	0	2	0	1	0
"sll0162"	1	0	95	69	66	65	49	80	79	78	75	65	65
"sll0163"	1	0	178	122	124	95	102	98	104	91	93	103	115
"sll0166"	1	0	51	17	26	24	22	18	32	27	32	25	23
"sll0167"	1	0	6	2	3	3	1	1	7	7	6	7	8
"sll0168"	1	0	10	7	2	6	2	5	4	4	7	0	1
"sll0169"	1	0	83	52	68	51	64	66	58	62	60	62	49
"sll0170"	1	0	137	81	117	100	94	102	184	211	202	224	198
"sll0171"	1	0	58	36	22	32	33	27	33	37	42	45	36
"sll0172"	1	0	8	5	4	4	2	8	9	13	8	10	9
"sll0173"	1	0	39	44	27	30	28	29	52	41	51	41	49
"sll0174"	1	0	21	13	10	8	12	10	12	5	8	5	10
"sll0175"	1	0	96	43	70	42	52	54	42	41	51	54	48
"sll0176"	1	0	20	4	6	6	2	15	5	7	16	16	18
"sll0177"	1	0	93	41	53	55	39	50	47	40	38	52	30
"sll0178"	1	0	265	220	212	179	218	211	236	224	232	236	232
"sll0179"	1	0	87	65	66	66	87	66	57	63	70	71	85
"sll0180"	1	0	57	28	39	36	28	29	47	44	59	58	46
"sll0181"	1	0	65	44	49	51	43	47	52	43	53	42	50
"sll0182"	1	0	71	38	39	25	29	45	35	35	33	31	42
"sll0183"	1	0	22	23	20	20	16	14	19	19	15	8	20
"sll0184"	1	0	149	63	67	84	84	67	108	78	78	76	85
"sll0185"	1	0	82	66	69	47	47	56	73	91	76	75	58
"sll0188"	1	0	32	23	35	38	36	34	34	43	21	36	31
"sll0189"	1	0	17	2	3	4	2	3	14	24	14	12	19
"sll0191"	1	0	65	36	44	36	49	45	35	46	31	31	28
"sll0192"	1	0	46	54	41	22	33	35	42	43	52	51	39
"sll0194"	1	0	2	0	0	0	1	0	0	1	1	3	1
"sll0195"	1	0	46	62	51	33	40	47	89	78	88	58	63
"sll0198"	1	0	9	4	2	2	1	3	4	5	2	5	4
"sll0199"	1	0	14	21	6	16	6	4	40	36	41	51	42
"sll0202"	1	0	145	100	128	101	126	135	64	94	85	62	86
"sll0204"	1	0	72	74	57	66	58	55	45	55	53	77	52
"sll0205"	1	0	13	10	4	4	2	7	7	5	0	4	6
"sll0207"	1	0	41	11	19	21	13	11	28	15	19	24	17
"sll0208"	1	0	41	42	47	44	40	50	45	33	56	40	55
"sll0209"	1	0	66	46	44	35	31	32	37	41	50	38	48
"sll0210"	1	0	16	8	5	7	5	6	7	8	7	12	7
"sll0216"	1	0	49	15	16	17	20	16	24	31	21	39	34
"sll0217"	1	0	46	27	32	37	27	34	52	57	47	46	37
"sll0218"	1	0	13	3	2	2	6	4	4	8	4	4	9
"sll0219"	1	0	116	66	74	64	86	78	95	84	74	66	52
"sll0220"	1	0	71	35	29	25	28	23	62	54	47	48	46
"sll0221"	1	0	13	6	9	12	6	11	18	17	12	14	9
"sll0222"	1	0	22	26	18	17	26	21	17	12	16	12	21
"sll0223"	1	0	13	24	15	20	25	25	19	22	17	15	16
"sll0224"	1	0	33	24	19	33	19	24	42	40	46	46	41
"sll0225"	1	0	53	23	19	29	14	24	23	22	14	17	24
"sll0226"	1	0	53	19	27	27	19	32	16	21	22	24	29
"sll0227"	1	0	19	13	17	17	12	16	29	18	24	18	17
"sll0228"	1	0	45	44	55	50	58	56	64	63	74	66	55
"sll0230"	1	0	15	15	21	16	17	24	17	13	18	14	12
"sll0236"	1	0	68	43	62	51	72	64	42	49	45	59	46
"sll0237"	1	0	22	4	8	4	11	6	9	5	5	13	4
"sll0238"	1	0	18	4	13	7	6	17	8	9	9	7	14
"sll0240"	1	0	26	16	15	10	9	11	7	9	6	13	9
"sll0241"	1	0	63	22	36	22	35	26	44	45	48	53	55
"sll0242"	1	0	108	41	40	33	43	41	62	58	63	65	41
"sll0243"	1	0	39	19	26	23	24	26	20	8	13	20	16
"sll0244"	1	0	33	23	15	16	20	13	23	22	23	28	24
"sll0245"	1	0	56	20	23	28	32	30	34	37	44	45	33
"sll0247"	1	0	6	14	6	10	8	5	11	7	6	11	3
"sll0248"	1	0	14	7	2	4	6	1	6	6	10	14	14
"sll0249"	1	0	25	6	15	7	7	6	6	11	16	13	11
"sll0250"	1	0	35	12	7	7	9	12	15	17	9	15	6
"sll0252"	1	0	46	29	21	24	25	24	24	19	28	23	22
"sll0253"	1	0	29	24	22	9	17	25	26	19	17	22	33
"sll0254"	1	0	67	31	27	21	23	16	48	56	45	55	50
"sll0257"	1	0	6	6	7	5	6	8	5	9	9	11	6
"sll0258"	1	0	21	22	20	22	17	19	36	42	39	43	39
"sll0260"	1	0	48	19	28	21	25	29	40	37	40	40	35
"sll0261"	1	0	44	11	17	24	17	26	20	18	19	23	20
"sll0262"	1	0	49	36	34	23	30	31	24	24	31	28	20
"sll0263"	1	0	25	10	9	7	7	18	11	18	5	10	10
"sll0264"	1	0	47	24	22	24	30	22	38	22	26	23	20
"sll0265"	1	0	29	26	23	18	17	14	19	13	26	20	18
"sll0266"	1	0	59	50	39	73	41	50	63	53	48	50	48
"sll0267"	1	0	260	151	168	161	152	143	158	126	156	148	127
"sll0268"	1	0	17	7	10	11	11	8	11	11	16	10	4
"sll0269"	1	0	23	4	6	7	7	17	5	6	9	5	12
"sll0270"	1	0	138	79	73	77	82	86	68	66	59	58	71
"sll0271"	1	0	66	32	35	36	28	32	33	38	32	35	41
"sll0272"	1	0	16	10	9	8	13	10	31	18	23	13	13
"sll0273"	1	0	43	30	31	18	21	36	11	20	25	31	21
"sll0274"	1	0	32	17	20	15	16	19	21	24	28	29	19
"sll0280"	1	0	108	73	61	54	52	57	109	111	109	108	109
"sll0281"	1	0	39	19	17	17	14	18	18	14	23	14	17
"sll0282"	1	0	31	10	17	8	14	6	18	12	18	14	13
"sll0283"	1	0	60	50	40	37	47	52	36	32	31	30	24
"sll0284"	1	0	98	44	50	55	59	51	81	57	61	55	51
"sll0286"	1	0	49	27	21	17	27	26	38	33	40	45	45
"sll0288"	1	0	33	14	19	14	14	10	20	14	32	19	12
"sll0289"	1	0	45	16	22	23	16	26	33	37	32	28	33
"sll0290"	1	0	119	77	79	69	78	79	115	120	103	111	93
"sll0293"	1	0	12	8	13	2	8	6	18	16	12	13	16
"sll0294"	1	0	71	36	40	34	36	31	36	35	45	38	45
"sll0295"	1	0	32	22	29	19	17	20	21	27	19	30	33
"sll0296"	1	0	22	5	3	8	6	2	8	20	13	12	15
"sll0297"	1	0	51	41	47	25	39	38	18	37	24	23	22
"sll0298"	1	0	34	12	13	18	14	18	17	20	28	25	18
"sll0300"	1	0	20	8	13	8	20	13	3	7	9	4	7
"sll0301"	1	0	22	3	8	15	12	10	17	19	26	18	16
"sll0306"	1	0	111	42	42	43	53	43	70	68	64	61	66
"sll0309"	1	0	31	21	26	24	38	30	26	25	30	26	25
"sll0310"	1	0	25	17	13	10	9	9	25	24	18	18	20
"sll0312"	1	0	32	9	20	15	10	11	21	15	13	11	12
"sll0314"	1	0	50	28	54	44	49	44	47	56	52	57	38
"sll0315"	1	0	7	2	1	2	3	1	0	2	1	2	1
"sll0317"	1	0	5	7	24	29	31	14	3	2	1	3	2
"sll0318"	1	0	52	20	15	32	27	10	41	33	29	33	34
"sll0319"	1	0	23	9	12	21	26	18	28	36	31	33	38
"sll0320"	1	0	62	35	39	36	31	32	43	47	48	35	37
"sll0321"	1	0	69	51	44	41	53	51	62	86	82	76	76
"sll0322"	1	0	101	104	62	68	83	67	87	84	88	72	94
"sll0325"	1	0	56	38	27	24	28	22	50	30	49	43	33
"sll0328"	1	0	47	28	30	23	18	33	26	21	17	15	18
"sll0329"	1	0	77	63	59	66	75	67	124	114	120	96	82
"sll0330"	1	0	44	13	25	40	50	29	19	24	14	17	19
"sll0335"	1	0	50	25	22	21	17	20	30	24	32	32	29
"sll0336"	1	0	70	70	68	49	75	78	80	55	69	58	49
"sll0337"	1	0	54	36	49	41	36	39	19	24	22	26	24
"sll0350"	1	0	52	30	33	47	34	37	35	34	30	30	37
"sll0354"	1	0	8	13	28	12	14	18	10	12	5	4	11
"sll0355"	1	0	13	6	6	2	3	5	2	6	6	7	7
"sll0356"	1	0	23	26	19	22	17	19	12	9	10	18	16
"sll0359"	1	0	37	28	24	22	23	27	63	51	51	55	64
"sll0360"	1	0	11	9	5	8	6	10	7	6	10	10	3
"sll0361"	1	0	28	43	32	27	22	32	20	23	30	20	25
"sll0362"	1	0	132	73	86	90	96	101	88	82	70	65	81
"sll0364"	1	0	14	58	101	42	69	64	32	33	18	24	39
"sll0368"	1	0	55	14	13	16	19	19	30	21	17	23	12
"sll0369"	1	0	24	10	2	5	5	8	6	14	10	10	10
"sll0370"	1	0	159	107	125	88	127	105	146	132	131	116	140
"sll0371"	1	0	99	55	46	58	49	64	67	62	61	63	69
"sll0372"	1	0	16	7	11	6	8	18	7	14	5	6	9
"sll0373"	1	0	35	11	9	17	18	23	17	24	18	16	21
"sll0374"	1	0	36	42	38	47	46	28	29	32	29	34	43
"sll0375"	1	0	46	11	7	8	13	14	24	15	21	33	13
"sll0376"	1	0	16	14	10	12	4	6	15	10	13	12	12
"sll0377"	1	0	260	118	125	115	141	133	149	123	125	115	112
"sll0378"	1	0	22	10	11	19	16	16	9	11	15	17	17
"sll0379"	1	0	42	26	23	31	24	32	25	12	12	16	16
"sll0380"	1	0	45	25	23	22	26	30	31	28	25	38	36
"sll0381"	1	0	22	17	23	21	20	13	15	14	16	12	23
"sll0382"	1	0	3	1	0	1	0	2	0	0	1	2	0
"sll0383"	1	0	5	2	3	3	2	3	2	4	0	4	1
"sll0384"	1	0	38	33	33	25	32	28	21	34	28	18	14
"sll0385"	1	0	41	34	37	37	32	32	38	51	37	44	42
"sll0394"	1	0	21	42	23	39	31	34	33	51	39	33	38
"sll0395"	1	0	44	25	22	12	19	23	40	41	46	34	38
"sll0396"	1	0	67	36	58	46	43	44	35	27	27	30	39
"sll0397"	1	0	11	21	12	11	22	14	9	8	6	11	6
"sll0398"	1	0	99	45	47	44	52	64	31	32	53	55	44
"sll0400"	1	0	26	13	30	21	24	28	15	23	18	19	25
"sll0401"	1	0	89	81	97	90	80	98	93	81	94	105	91
"sll0402"	1	0	39	39	32	55	44	36	58	59	50	48	40
"sll0403"	1	0	34	29	19	24	26	27	49	37	29	24	36
"sll0404"	1	0	64	31	45	34	40	41	60	48	50	49	41
"sll0405"	1	0	61	25	21	22	31	28	21	29	28	28	28
"sll0406"	1	0	51	49	37	31	30	31	46	34	18	36	43
"sll0408"	1	0	58	33	46	49	49	58	69	93	75	88	84
"sll0409"	1	0	42	31	43	35	47	37	19	15	24	13	12
"sll0410"	1	0	31	15	16	19	25	15	21	18	25	17	13
"sll0412"	1	0	97	31	23	21	25	26	34	25	30	29	46
"sll0413"	1	0	35	49	42	43	39	40	37	31	38	31	36
"sll0414"	1	0	42	14	21	9	17	17	16	20	22	20	17
"sll0415"	1	0	59	25	25	26	20	21	29	33	23	23	28
"sll0416"	1	0	100	88	86	82	57	77	151	154	183	221	208
"sll0418"	1	0	25	6	4	6	5	6	8	8	7	12	8
"sll0419"	1	0	2	1	0	1	2	3	2	0	0	3	0
"sll0420"	1	0	11	4	6	6	5	4	10	8	6	6	8
"sll0421"	1	0	101	73	75	62	64	52	65	69	68	66	69
"sll0422"	1	0	59	41	45	65	46	51	100	82	92	85	84
"sll0423"	1	0	18	24	19	22	24	20	10	14	20	21	10
"sll0424"	1	0	70	52	46	41	50	59	42	52	52	34	28
"sll0426"	1	0	9	40	38	36	42	51	25	16	15	23	21
"sll0427"	1	0	53	46	44	33	40	52	103	115	116	121	118
"sll0428"	1	0	34	8	16	8	8	12	16	12	25	23	21
"sll0430"	1	0	144	87	91	71	92	87	113	101	118	126	126
"sll0436"	1	0	27	26	25	28	45	32	33	34	39	36	19
"sll0441"	1	0	84	59	71	50	57	61	56	55	64	49	71
"sll0442"	1	0	2	2	1	0	1	1	0	0	0	0	1
"sll0443"	1	0	48	39	38	28	37	26	59	53	51	50	53
"sll0444"	1	0	7	2	3	3	1	4	2	4	5	2	1
"sll0445"	1	0	59	32	29	29	48	35	22	26	23	29	29
"sll0446"	1	0	145	72	98	71	84	87	82	91	90	92	71
"sll0447"	1	0	64	48	58	67	69	63	37	31	35	29	29
"sll0448"	1	0	65	20	17	32	22	17	32	31	35	25	33
"sll0449"	1	0	59	34	25	31	28	25	30	24	20	21	24
"sll0450"	1	0	20	22	11	24	10	19	12	19	13	4	9
"sll0451"	1	0	29	39	47	68	68	66	28	23	22	32	31
"sll0454"	1	0	65	45	75	40	70	62	47	31	33	42	45
"sll0455"	1	0	33	14	22	30	23	24	20	26	24	15	19
"sll0456"	1	0	34	48	46	32	38	48	27	43	36	29	39
"sll0459"	1	0	141	97	99	76	78	105	86	85	94	91	86
"sll0461"	1	0	52	27	27	26	23	25	63	39	33	45	48
"sll0462"	1	0	15	11	12	12	20	9	13	9	11	5	5
"sll0467"	1	0	52	22	23	21	18	20	53	62	53	43	32
"sll0469"	1	0	57	23	44	38	40	43	53	44	47	57	56
"sll0470"	1	0	40	38	38	40	47	31	29	42	32	32	49
"sll0471"	1	0	90	90	79	83	72	73	68	79	77	69	84
"sll0473"	1	0	36	16	23	22	18	34	21	14	12	16	21
"sll0474"	1	0	89	51	47	47	53	51	51	28	40	40	43
"sll0477"	1	0	58	50	51	51	52	50	32	45	41	36	42
"sll0478"	1	0	18	4	8	8	0	8	4	8	14	7	9
"sll0479"	1	0	13	13	25	25	20	21	7	8	7	8	11
"sll0480"	1	0	65	34	42	48	38	41	59	53	46	50	60
"sll0481"	1	0	17	7	12	8	13	11	14	9	14	20	11
"sll0482"	1	0	66	47	24	34	21	24	35	33	29	35	26
"sll0484"	1	0	39	6	10	16	20	23	18	19	17	6	23
"sll0485"	1	0	55	26	23	25	24	25	23	15	11	18	12
"sll0486"	1	0	19	16	16	10	12	21	13	20	10	17	15
"sll0487"	1	0	54	50	51	35	59	43	29	40	28	28	33
"sll0488"	1	0	37	24	30	24	28	30	40	37	43	42	39
"sll0489"	1	0	72	58	59	35	38	45	50	61	51	55	56
"sll0493"	1	0	43	11	5	8	9	3	16	10	16	10	18
"sll0494"	1	0	2	2	0	1	0	0	2	2	4	2	2
"sll0495"	1	0	108	55	59	56	50	54	80	95	92	92	89
"sll0496"	1	0	56	64	39	28	41	30	37	30	42	46	45
"sll0497"	1	0	50	38	50	40	34	55	53	51	42	38	37
"sll0498"	1	0	20	14	7	7	6	9	6	9	9	8	10
"sll0499"	1	0	103	50	71	65	68	61	63	61	57	54	79
"sll0501"	1	0	87	49	62	33	42	42	78	43	64	62	44
"sll0502"	1	0	113	89	92	87	95	95	104	87	91	85	98
"sll0503"	1	0	52	13	17	18	22	24	24	27	30	26	35
"sll0504"	1	0	43	39	39	36	30	41	40	29	36	30	30
"sll0505"	1	0	63	14	22	14	22	13	21	20	21	26	25
"sll0506"	1	0	73	92	91	53	81	87	65	60	65	72	71
"sll0507"	1	0	65	48	39	49	32	44	57	53	47	55	67
"sll0508"	1	0	37	19	22	16	21	21	33	40	25	26	29
"sll0509"	1	0	28	13	16	16	14	21	19	15	10	11	13
"sll0513"	1	0	53	36	40	37	58	50	32	40	45	50	49
"sll0514"	1	0	51	28	31	17	25	28	26	47	29	31	30
"sll0517"	1	0	25	6	22	26	24	24	20	23	30	27	27
"sll0518"	1	0	89	40	61	73	72	43	63	59	49	52	45
"sll0519"	1	0	18	6	4	5	6	4	21	20	19	17	12
"sll0520"	1	0	44	39	47	28	33	28	69	58	52	37	34
"sll0521"	1	0	10	7	12	7	6	11	4	3	3	1	3
"sll0522"	1	0	4	2	3	3	5	1	3	4	3	3	3
"sll0524"	1	0	36	8	15	8	12	8	20	20	19	24	14
"sll0525"	1	0	15	5	3	1	2	4	4	13	10	12	13
"sll0528"	1	0	9	7	7	3	3	5	7	16	14	18	9
"sll0529"	1	0	57	50	53	31	43	47	115	93	94	70	64
"sll0532"	1	0	21	6	14	17	12	14	5	6	5	10	8
"sll0533"	1	0	128	93	94	95	96	107	136	122	152	155	156
"sll0534"	1	0	25	21	15	18	20	16	32	29	35	27	24
"sll0535"	1	0	104	74	76	84	71	60	63	67	51	58	52
"sll0536"	1	0	43	52	76	45	71	63	31	17	27	30	37
"sll0537"	1	0	29	8	12	13	11	14	16	23	12	16	10
"sll0539"	1	0	71	48	69	51	63	61	54	56	54	56	46
"sll0540"	1	0	13	6	8	6	4	7	7	10	18	11	5
"sll0541"	1	0	39	28	16	28	40	29	47	40	46	46	40
"sll0542"	1	0	115	91	68	98	100	86	117	103	86	89	80
"sll0543"	1	0	6	1	2	0	2	1	1	2	1	3	3
"sll0544"	1	0	56	16	27	28	16	23	18	27	34	24	32
"sll0545"	1	0	22	12	10	10	4	8	5	11	8	4	8
"sll0546"	1	0	23	21	14	16	25	13	28	31	31	38	48
"sll0547"	1	0	40	17	15	19	27	27	19	8	10	14	15
"sll0549"	1	0	15	41	27	17	22	28	18	16	11	12	8
"sll0550"	1	0	86	46	68	44	85	52	94	83	84	62	61
"sll0552"	1	0	51	50	30	22	20	34	12	16	21	16	11
"sll0553"	1	0	24	12	14	6	14	15	21	16	12	10	12
"sll0554"	1	0	42	46	65	25	60	57	58	68	56	68	76
"sll0555"	1	0	43	18	4	11	10	12	21	23	24	20	22
"sll0556"	1	0	42	23	26	24	21	23	14	20	23	11	18
"sll0558"	1	0	33	10	10	12	11	15	25	22	10	15	14
"sll0563"	1	0	55	27	41	43	39	45	30	17	31	28	18
"sll0564"	1	0	52	40	46	45	57	58	68	49	65	60	47
"sll0565"	1	0	26	42	48	40	33	41	26	27	39	24	23
"sll0567"	1	0	47	30	35	31	27	23	20	11	21	27	23
"sll0569"	1	0	84	54	41	45	54	35	71	68	77	63	55
"sll0572"	1	0	74	45	48	40	33	45	50	48	46	47	41
"sll0573"	1	0	35	25	27	21	20	25	15	15	19	19	16
"sll0574"	1	0	16	1	3	6	18	6	3	5	3	7	4
"sll0575"	1	0	55	52	45	44	35	53	30	22	30	29	18
"sll0576"	1	0	58	43	39	41	37	40	82	67	61	60	78
"sll0577"	1	0	12	9	6	10	9	10	5	8	9	11	12
"sll0578"	1	0	34	15	13	12	12	18	20	22	28	23	32
"sll0584"	1	0	23	15	8	5	12	6	7	18	13	7	11
"sll0585"	1	0	31	6	10	9	8	14	29	24	33	30	21
"sll0586"	1	0	88	29	46	41	35	57	26	39	40	32	24
"sll0587"	1	0	71	24	47	33	33	30	56	49	50	53	56
"sll0588"	1	0	8	7	4	8	8	8	22	29	17	16	10
"sll0590"	1	0	34	14	21	24	8	18	15	14	12	14	9
"sll0593"	1	0	43	24	27	24	22	21	27	32	21	30	31
"sll0594"	1	0	24	5	15	9	12	6	6	13	17	15	19
"sll0595"	1	0	21	19	22	15	17	15	13	20	20	14	19
"sll0596"	1	0	14	23	10	16	5	12	6	13	13	16	11
"sll0597"	1	0	17	6	5	5	6	6	9	12	9	12	6
"sll0601"	1	0	23	23	25	25	21	23	22	22	24	24	17
"sll0602"	1	0	85	64	76	73	78	75	83	97	99	89	86
"sll0603"	1	0	46	31	30	16	28	30	39	44	32	34	34
"sll0606"	1	0	49	26	39	39	45	54	33	39	41	27	25
"sll0608"	1	0	3	0	1	1	3	5	2	2	1	0	1
"sll0609"	1	0	3	1	2	1	0	0	2	0	0	1	0
"sll0611"	1	0	10	9	11	12	10	9	12	7	6	12	10
"sll0613"	1	0	69	21	26	26	21	21	19	20	26	27	24
"sll0614"	1	0	6	0	2	1	2	1	5	6	5	2	5
"sll0615"	1	0	24	15	19	20	17	16	20	24	23	21	11
"sll0616"	1	0	254	149	196	147	180	185	235	209	224	217	217
"sll0617"	1	0	85	44	30	58	55	49	61	71	85	87	62
"sll0621"	1	0	7	1	3	3	4	0	3	3	3	3	2
"sll0622"	1	0	47	38	51	37	41	40	24	35	21	37	32
"sll0623"	1	0	18	5	6	7	4	7	10	16	6	10	11
"sll0624"	1	0	8	3	4	1	6	5	2	1	5	4	8
"sll0625"	1	0	25	10	6	6	4	8	17	16	16	14	9
"sll0626"	1	0	80	37	51	40	45	48	50	45	47	50	54
"sll0629"	1	0	24	8	12	11	11	5	10	10	10	9	9
"sll0630"	1	0	54	43	56	28	41	31	61	46	51	31	55
"sll0631"	1	0	62	32	47	31	65	45	46	42	37	38	39
"sll0634"	1	0	25	6	4	3	7	6	17	15	13	15	14
"sll0635"	1	0	89	43	36	42	52	45	61	66	76	83	64
"sll0638"	1	0	35	23	11	18	16	22	16	13	17	17	34
"sll0639"	1	0	52	67	50	57	57	34	36	44	44	40	54
"sll0640"	1	0	62	22	20	17	25	14	26	24	25	18	27
"sll0641"	1	0	31	22	29	21	19	26	17	23	16	25	11
"sll0643"	1	0	25	20	11	13	11	17	24	19	25	18	17
"sll0644"	1	0	29	19	18	19	20	19	15	18	11	16	14
"sll0645"	1	0	22	22	10	21	26	18	23	30	21	17	20
"sll0646"	1	0	56	23	40	25	27	29	19	29	28	23	23
"sll0647"	1	0	19	4	14	5	13	12	3	7	14	19	14
